L_min,channel,tau_quantile,tau_value,show_rate_val,recall_at_10_given_shown_val,recall_at_10_overall_val,ci95_low,ci95_high
30,ensemble,0.7,0.7944719794988632,0.2999808318957255,0.9364217252396166,0.8607437224458501,0.9277892543279972,0.9449170726317371
30,ensemble,0.8,0.8421052631578947,0.25666091623538434,0.9398805078416729,0.8607437224458501,0.9307923862697025,0.9484224418512344
30,ensemble,0.9,0.8421052631578947,0.25666091623538434,0.9398805078416729,0.8607437224458501,0.9301103772670486,0.9497324901328328
30,ensemble,0.95,0.8421052631578947,0.25666091623538434,0.9398805078416729,0.8607437224458501,0.9309939187495304,0.9489621576142463
50,max_score,0.5,0.9831663727760315,0.5,0.925770601803313,0.864122457538268,0.9187954036839387,0.9335096920487941
50,max_score,0.6,0.9897953021526337,0.39997903124344725,0.9321100917431193,0.864122457538268,0.9247024472562997,0.94023585683537
50,max_score,0.7,0.9966442877054214,0.3000629062696582,0.940251572327044,0.864122457538268,0.9312657493110372,0.949163084749226
50,max_score,0.8,1.0,0.2521492975466555,0.9434511434511434,0.864122457538268,0.9337354773604011,0.9519484813216467
50,max_score,0.9,1.0,0.2521492975466555,0.9434511434511434,0.864122457538268,0.9338959659472419,0.9527234893604506
50,max_score,0.95,1.0,0.2521492975466555,0.9434511434511434,0.864122457538268,0.9344410833976422,0.9515606824685716
50,max_score_calibrated,0.5,0.4343598055105348,0.9063745019920318,0.8787738577212262,0.864122457538268,0.8717269741030277,0.8849939551768727
50,max_score_calibrated,0.6,0.4343598055105348,0.9063745019920318,0.8787738577212262,0.864122457538268,0.871813818967709,0.8850516475061965
50,max_score_calibrated,0.7,0.592,0.38425246382889494,0.9331514324693042,0.864122457538268,0.9248667800650957,0.9413403570321801
50,max_score_calibrated,0.8,0.6842105263157895,0.2521492975466555,0.9434511434511434,0.864122457538268,0.9339940710294963,0.952311592939501
50,max_score_calibrated,0.9,0.6842105263157895,0.2521492975466555,0.9434511434511434,0.864122457538268,0.9341052612932716,0.9528501554326096
50,max_score_calibrated,0.95,0.6842105263157895,0.2521492975466555,0.9434511434511434,0.864122457538268,0.933456931382494,0.9527703385725466
50,margin,0.5,0.04000101089477537,0.5,0.9104634095198155,0.864122457538268,0.9016594579479301,0.9186802887720331
50,margin,0.6,0.0524644255638123,0.39997903124344725,0.9190039318479686,0.864122457538268,0.9106350543022406,0.9271186718941639
50,margin,0.7,0.06878312289714819,0.3000629062696582,0.9290705800139762,0.864122457538268,0.9190725004123881,0.9382603312950214
50,margin,0.8,0.08880312442779544,0.20004193751310548,0.9444444444444444,0.864122457538268,0.9344542924868597,0.9547178013557324
50,margin,0.9,0.11973830550909051,0.10002096875655274,0.9612159329140462,0.864122457538268,0.9473936991112767,0.9737010776757281
50,margin,0.95,0.1464754702150821,0.05001048437827637,0.9685534591194969,0.864122457538268,0.9527210561005907,0.9835390946502057
50,entropy,0.5,2.3014987471997057,0.5,0.803103375969805,0.864122457538268,0.7926841374213116,0.8149989500161214
50,entropy,0.6,2.3017047212855224,0.39997903124344725,0.7900393184796854,0.864122457538268,0.77814025977737,0.8024653215636822
50,entropy,0.7,2.301890258725166,0.3000629062696582,0.7760307477288609,0.864122457538268,0.761466208154546,0.7918758508950572
50,entropy,0.8,2.3020505896752352,0.20004193751310548,0.7552410901467506,0.864122457538268,0.7351796169571105,0.7746250837281996
50,entropy,0.9,2.3022158379465054,0.10002096875655274,0.7064989517819706,0.864122457538268,0.6786468068199485,0.734030303030303
50,entropy,0.95,2.302314723325826,0.05001048437827637,0.6645702306079665,0.864122457538268,0.623267809139785,0.706318703679904
50,normalized_gap,0.5,0.04095883583883754,0.5,0.9098343468232334,0.864122457538268,0.9012379186867086,0.9175834970402783
50,normalized_gap,0.6,0.053496995784438874,0.39997903124344725,0.9179554390563565,0.864122457538268,0.909206224157448,0.926358371340315
50,normalized_gap,0.7,0.0696833096703285,0.3000629062696582,0.9290705800139762,0.864122457538268,0.9200940501995901,0.9384727462085598
50,normalized_gap,0.8,0.0895246439923172,0.20004193751310548,0.9433962264150944,0.864122457538268,0.9336064598539543,0.9531281276323791
